id,time,temp1,temp2,humid1,humid2,airquality
78,2024-11-10 15:47:24,28.1,28.1,95.0,94.0,32.9
79,2024-11-10 15:47:24,28.1,28.1,95.0,94.0,34.9
80,2024-11-10 15:47:24,28.1,28.1,95.0,94.0,34.9
81,2024-11-10 15:47:28,28.1,28.1,95.0,94.0,34.9
82,2024-11-10 15:47:28,28.1,28.1,95.0,94.0,34.9
83,2024-11-10 15:47:28,28.1,28.1,95.0,94.0,34.9
84,2024-11-10 15:47:28,28.1,28.1,95.0,94.0,34.9
85,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.9
86,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.9
87,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.9
88,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.9
89,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.3
90,2024-11-10 15:47:29,28.1,28.1,95.0,94.0,34.3
91,2024-11-10 15:47:33,28.2,28.1,95.0,94.0,34.3
92,2024-11-10 15:47:33,28.2,28.1,95.0,94.0,34.3
93,2024-11-10 15:47:33,28.2,28.1,95.0,94.0,34.3
94,2024-11-10 15:47:33,28.2,28.1,95.0,94.0,34.3
95,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.3
96,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.3
97,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.3
98,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.3
99,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.2
100,2024-11-10 15:47:34,28.2,28.2,95.0,94.0,34.2
101,2024-11-10 15:47:38,28.5,28.2,95.0,94.0,34.2
102,2024-11-10 15:47:38,28.5,28.2,95.0,94.0,34.2
103,2024-11-10 15:47:38,28.5,28.2,95.0,94.0,34.2
104,2024-11-10 15:47:38,28.5,28.2,95.0,94.0,34.2
105,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,34.2
106,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,34.2
107,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,34.2
108,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,34.2
109,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,33.3
110,2024-11-10 15:47:39,28.5,28.5,95.0,94.0,33.3
111,2024-11-10 15:47:43,28.5,28.5,95.0,94.0,33.3
112,2024-11-10 15:47:43,28.5,28.5,95.0,94.0,33.3
113,2024-11-10 15:47:43,28.5,28.5,95.0,94.0,33.3
114,2024-11-10 15:47:43,28.5,28.5,95.0,94.0,33.3
115,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,33.3
116,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,33.3
117,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,33.3
118,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,33.3
119,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,35.6
120,2024-11-10 15:47:44,28.5,28.5,95.0,94.0,35.6
121,2024-11-10 15:47:48,28.5,28.5,95.0,94.0,35.6
122,2024-11-10 15:47:48,28.5,28.5,95.0,94.0,35.6
123,2024-11-10 15:47:48,28.5,28.5,95.0,94.0,35.6
124,2024-11-10 15:47:48,28.5,28.5,95.0,94.0,35.6
125,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,35.6
126,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,35.6
127,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,35.6
128,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,35.6
129,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,36.4
130,2024-11-10 15:47:49,28.5,28.5,95.0,94.0,36.4
131,2024-11-10 15:47:53,28.5,28.5,95.0,94.0,36.4
132,2024-11-10 15:47:53,28.5,28.5,95.0,94.0,36.4
133,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
134,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
135,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
136,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
137,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
138,2024-11-10 15:47:54,28.5,28.5,95.0,94.0,36.4
139,2024-11-10 15:47:55,28.5,28.5,95.0,94.0,36.0
140,2024-11-10 15:47:55,28.5,28.5,95.0,94.0,36.0
141,2024-11-10 15:47:59,28.5,28.5,95.0,94.0,36.0
142,2024-11-10 15:47:59,28.5,28.5,95.0,94.0,36.0
143,2024-11-10 15:47:59,28.5,28.5,95.0,94.0,36.0
144,2024-11-10 15:47:59,28.5,28.5,95.0,94.0,36.0
145,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,36.0
146,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,36.0
147,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,36.0
148,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,36.0
149,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,35.6
150,2024-11-10 15:48:00,28.5,28.5,95.0,94.0,35.6
151,2024-11-10 15:48:04,28.5,28.5,95.0,94.0,35.6
152,2024-11-10 15:48:04,28.5,28.5,95.0,94.0,35.6
153,2024-11-10 15:48:04,28.5,28.5,95.0,94.0,35.6
154,2024-11-10 15:48:04,28.5,28.5,95.0,94.0,35.6
155,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.6
156,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.6
157,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.6
158,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.6
159,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.7
160,2024-11-10 15:48:05,28.5,28.5,95.0,94.0,35.7
161,2024-11-10 15:48:09,28.5,28.5,95.0,94.0,35.7
162,2024-11-10 15:48:09,28.5,28.5,95.0,94.0,35.7
163,2024-11-10 15:48:09,28.5,28.5,95.0,94.0,35.7
164,2024-11-10 15:48:09,28.5,28.5,95.0,94.0,35.7
165,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,35.7
166,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,35.7
167,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,35.7
168,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,35.7
169,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,34.3
170,2024-11-10 15:48:10,28.5,28.5,95.0,94.0,34.3
171,2024-11-10 15:48:14,28.5,28.5,95.0,94.0,34.3
172,2024-11-10 15:48:14,28.5,28.5,95.0,94.0,34.3
173,2024-11-10 15:48:14,28.5,28.5,95.0,94.0,34.3
174,2024-11-10 15:48:14,28.5,28.5,95.0,94.0,34.3
175,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.3
176,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.3
177,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.3
178,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.3
179,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.5
180,2024-11-10 15:48:15,28.5,28.5,95.0,94.0,34.5
181,2024-11-10 15:48:19,28.5,28.5,95.0,94.0,34.5
182,2024-11-10 15:48:19,28.5,28.5,95.0,94.0,34.5
183,2024-11-10 15:48:19,28.5,28.5,95.0,94.0,34.5
184,2024-11-10 15:48:19,28.5,28.5,95.0,94.0,34.5
185,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.5
